"Time","Area","Mean_Radius","Intensity_KTR_Cyan","Intensity_KTR_Green","Math_RatioCyan","Math_RatioGreen","Object_Label","Time_in_min"
1,137,1.4571,0.0298,0.0338,0.5795,0.6169,4,0
1,116,1.3877,0.0139,0.0248,0.4597,0.8054,15,0
1,114,1.2353,0.0214,0.0324,0.5214,0.7197,19,0
1,116,1.4524,0.0163,0.0312,0.4851,0.8633,26,0
1,129,1.3499,0.0139,0.0338,0.4986,0.8759,28,0
1,114,1.3334,0.0152,0.0284,0.3956,0.7903,38,0
1,122,1.3578,0.0142,0.0241,0.4657,0.7753,43,0
1,234,1.4058,0.0191,0.0356,0.5033,0.7849,52,0
1,120,1.3195,0.0181,0.0363,0.4121,0.6803,58,0
1,152,1.3129,0.0236,0.0317,0.6044,0.7815,70,0
1,141,1.4842,0.021,0.0336,0.5708,1.038,71,0
1,176,1.4702,0.0206,0.0299,0.581,0.8212,73,0
1,219,1.4349,0.0218,0.0307,0.5131,0.7678,77,0
1,149,1.344,0.0284,0.0343,0.6272,0.802,83,0
1,175,1.3074,0.0202,0.0253,0.4806,0.565,87,0
1,132,1.5183,0.0171,0.0326,0.5282,1.0547,93,0
1,199,1.4263,0.0204,0.0323,0.5042,1.0512,97,0
1,179,1.5861,0.0166,0.0311,0.5864,1.0952,102,0
1,114,1.2735,0.0193,0.0271,0.4124,0.7159,104,0
1,122,1.2768,0.0187,0.028,0.4869,0.6986,106,0
1,124,1.3652,0.0227,0.0266,0.5218,0.5698,114,0
1,138,1.377,0.0187,0.0324,0.5306,1.1392,115,0
1,113,1.3565,0.0138,0.0251,0.6158,0.9155,119,0
1,238,1.4779,0.0226,0.0298,0.7326,0.7558,124,0
1,107,1.4173,0.0173,0.0293,0.4871,0.9147,125,0
1,164,1.4982,0.0173,0.0318,0.5458,0.9331,126,0
1,144,1.313,0.0189,0.0353,0.5163,0.7591,130,0
1,141,1.3381,0.0236,0.0311,0.6269,1.0779,133,0
1,117,1.3475,0.0183,0.0345,0.4554,0.9897,135,0
1,155,1.3422,0.0144,0.029,0.4597,0.9876,137,0
1,160,1.3698,0.0199,0.0329,0.4176,0.5827,138,0
1,129,1.3134,0.0131,0.0315,0.4211,0.8657,140,0
1,137,1.3964,0.0229,0.0318,0.5928,1.0196,146,0
1,173,1.4049,0.0167,0.0277,0.459,0.7158,147,0
1,147,1.3679,0.0289,0.0361,0.6968,0.8229,152,0
1,122,1.4842,0.0134,0.0255,0.4926,0.9485,155,0
1,120,1.3186,0.0103,0.0305,0.4333,0.7674,156,0
1,127,1.3396,0.0195,0.0288,0.5255,0.97,158,0
1,106,1.3805,0.0196,0.0334,0.463,0.6685,161,0
1,173,1.3294,0.0159,0.0304,0.4252,0.8374,167,0
1,213,1.4005,0.0243,0.029,0.5297,0.8262,168,0
1,134,1.343,0.0222,0.0346,0.4526,0.7643,169,0
1,172,1.3128,0.0195,0.0383,0.3957,0.7557,170,0
1,118,1.3052,0.0157,0.0339,0.4402,0.8381,174,0
1,156,1.3308,0.0178,0.0347,0.3873,0.6286,179,0
1,224,1.4279,0.0174,0.0301,0.4482,0.7601,181,0
1,199,1.4486,0.0172,0.0272,0.3973,0.6075,183,0
1,218,1.4445,0.0233,0.036,0.6516,1.0807,184,0
1,258,1.5125,0.0151,0.0306,0.4077,0.8218,187,0
